Site,Room_Type,Ventilation,Drug_Use_Observed,Temperature_C,Fentanyl_Concentration_ug_m3_TWA
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
D,hallway,0,0,19,0.008
B,office,0,0,20,0.01
D,SRO_unit,0,0,18,0.012
B,amenity,0,0,19,0.013
D,office,0,0,20,0.014
B,SRO_unit,0,0,19,0.015
D,hallway,0,0,18,0.016
B,amenity,0,0,21,0.018
D,office,0,0,17,0.02
B,hallway,0,0,22,0.022
D,SRO_unit,0,0,21,0.024
B,office,0,0,20,0.026
D,hallway,0,0,19,0.028
B,SRO_unit,0,0,20,0.032
D,office,0,0,18,0.045
A,HOPS,0,1,25,0.05
C,HOPS,0,1,25,0.052
E,SRO_unit,0,1,24,0.055
A,SRO_unit,0,1,25,0.058
C,hallway,1,1,26,0.062
E,amenity,1,1,26,0.066
A,HOPS,0,1,27,0.07
C,HOPS,0,1,28,0.075
E,office,1,1,25,0.08
A,SRO_unit,0,1,25,0.085
C,hallway,1,1,27,0.09
E,amenity,1,1,26,0.095
A,hallway,1,1,28,0.1
C,HOPS,0,1,29,0.11
E,office,0,1,28,0.12
A,HOPS,0,1,29,0.14
C,SRO_unit,0,1,27,0.15
E,amenity,0,1,29,0.16
A,HOPS,0,1,30,0.18
C,HOPS,0,1,29,0.2
E,SRO_unit,0,1,28,0.23
A,HOPS,0,1,30,0.26
C,HOPS,0,1,29,0.3
E,SRO_unit,0,1,28,0.35
A,HOPS,0,1,30,0.4
C,HOPS,0,1,29,0.65
B,hallway,1,0,24,0.003
D,office,1,0,23,0.0035
B,office,1,0,24,0.0038
D,hallway,1,0,22,0.004
B,amenity,1,0,25,0.0042
D,SRO_unit,1,0,24,0.0045
B,SRO_unit,1,0,24,0.0047
D,office,1,0,23,0.0049
B,hallway,0,0,20,0.007
