Site,Room_Type,Ventilation,Drug_Use_Observed,Temperature_C,Fentanyl_Concentration_ng_m3_TWA
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
A,amenity,0,1,21.4,0.0175
B,hallway,0,0,18.2,0.0035
B,SRO_unit,1,0,26.4,0.0022
B,office,0,0,20.6,0.0031
C,HOPS,1,1,26.2,0.0145
E,amenity,1,1,29.1,0.12
A,HOPS,0,1,19,0.018
A,hallway,1,0,26,0.007
A,SRO_unit,0,1,17.8,0.02
A,office,1,0,24.8,0.0072
