Site,Room_Type,Temperature_C,Ventilation,Drug_Use_Observed,Fentanyl_Concentration_ug_m3_TWA
A,SRO_unit,16.5,0,1,0.1371
A,SRO_unit,27.8,1,1,1.0128
A,SRO_unit,17.8,0,0,2.442
A,SRO_unit,16.8,0,0,0.0665
A,hallway,19.6,0,0,0.0468
A,SRO_unit,18,0,0,0.8669
A,SRO_unit,19.7,0,1,0.1228
A,HOPS,22.2,1,1,0.3318
A,SRO_unit,22.7,0,0,0.1305
A,SRO_unit,17.8,0,0,0.0091
A,HOPS,29.5,1,1,0.0526
A,SRO_unit,18.3,0,0,0.0142
A,hallway,16.2,0,0,0.0231
A,HOPS,19.7,0,0,0.0097
A,SRO_unit,21.1,0,1,2.8574
A,hallway,27.5,1,1,0.1888
A,SRO_unit,21.6,0,0,0.0132
A,SRO_unit,16.7,0,0,0.1242
A,HOPS,18.5,0,0,0.0212
A,SRO_unit,20.8,0,1,0.0167
A,hallway,19.4,0,1,0.0101
A,SRO_unit,24.8,1,1,0.0719
A,HOPS,26.9,1,1,1.256
A,HOPS,22.4,0,0,0.0219
A,hallway,28.7,1,1,0.0792
A,HOPS,21.4,1,1,0.2006
A,office,24.1,1,0,0.0501
A,SRO_unit,24.5,0,0,0.2453
A,HOPS,16.8,0,1,0.1586
A,HOPS,21.4,0,1,0.1428
A,SRO_unit,25.7,1,1,0.1286
A,hallway,21.6,1,0,0.0576
A,HOPS,20.4,0,1,0.7565
A,HOPS,23,0,1,3.1939
A,hallway,26.3,1,0,0.0932
A,SRO_unit,17.2,0,0,0.025
A,SRO_unit,27.3,1,0,0.1278
A,hallway,28.1,1,0,0.1399
A,SRO_unit,16.5,0,0,0.0689
A,office,26.9,0,0,0.0243
A,SRO_unit,17.2,0,0,0.7187
A,hallway,21.7,1,0,0.036
A,HOPS,28.4,1,1,3.6828
A,hallway,28.5,1,0,0.0687
A,office,17.4,0,0,0.0196
A,hallway,19.2,0,1,2.9093
A,SRO_unit,24.4,0,1,4.5664
A,SRO_unit,20,0,1,11.6504
A,office,16,0,0,0.0086
A,hallway,25.7,0,0,0.0587
A,HOPS,25.8,1,1,0.2897
A,SRO_unit,23.3,0,1,0.2722
A,SRO_unit,28.2,0,0,5.3106
A,HOPS,24.4,0,1,0.9177
A,SRO_unit,29.9,1,1,0.9992
A,HOPS,25.9,1,1,9.7435
A,HOPS,22,1,1,0.1193
A,office,27.4,1,0,0.006
A,hallway,26.6,1,0,0.0905
A,office,19,0,1,0.0733
A,SRO_unit,18.8,0,1,0.0685
A,SRO_unit,19,1,1,0.0682
A,HOPS,25.6,1,1,0.6517
A,HOPS,17,0,1,0.2515
A,SRO_unit,25.6,0,1,0.0535
A,SRO_unit,17.4,0,0,0.2053
A,hallway,26,1,0,0.0114
A,SRO_unit,23.6,0,1,0.4345
A,HOPS,29.5,1,1,0.3241
A,SRO_unit,27.9,1,1,0.1724
B,hallway,22.1,0,0,0.0025
B,hallway,28.5,1,0,0.0189
B,hallway,18.5,0,0,0.0025
B,office,25.1,0,0,0.0025
B,SRO_unit,25.6,1,1,0.051
B,hallway,25.7,1,1,0.3692
B,hallway,15.7,0,0,0.0269
B,hallway,15.6,0,0,0.0304
B,amenity,23.2,1,0,0.0025
B,office,26.7,1,0,0.0191
B,hallway,20,0,0,0.0025
B,office,25.6,0,0,0.0158
B,SRO_unit,24,0,0,0.0132
B,hallway,21.9,0,0,0.0025
B,SRO_unit,22.5,0,0,0.0025
B,amenity,20.8,0,0,0.0406
B,hallway,28.8,0,0,0.0431
B,SRO_unit,16.6,0,0,0.0097
B,hallway,21.4,0,0,0.0517
B,SRO_unit,24.9,1,0,0.0176
B,hallway,24.6,0,0,0.0214
B,hallway,26.2,1,0,0.0073
B,office,20.3,0,0,0.0025
B,hallway,21.7,0,0,0.0336
B,office,15.1,0,0,0.0025
B,hallway,25.8,0,0,0.0789
B,hallway,20.2,0,0,0.0025
B,office,27.5,1,0,0.0158
B,office,20.6,0,0,0.0293
B,SRO_unit,23.7,0,0,0.0431
B,SRO_unit,29.9,1,1,0.0025
B,SRO_unit,25.7,1,1,1.4333
B,amenity,20.2,0,0,0.0316
B,SRO_unit,29.1,0,0,0.0025
B,hallway,17.5,0,0,0.0025
B,SRO_unit,17,0,0,0.0206
B,office,17.3,0,0,0.0025
B,hallway,24.7,1,0,0.1914
B,hallway,29.6,1,0,0.0736
B,hallway,15.5,0,0,0.0113
B,hallway,26.3,0,0,0.0099
B,hallway,19.6,0,0,0.0025
B,office,28.2,1,0,0.0025
B,SRO_unit,28.8,1,0,0.0496
B,hallway,24.9,1,0,0.0664
B,amenity,17.1,0,0,0.0103
B,SRO_unit,22.1,0,0,0.0305
B,hallway,28.5,0,1,0.0136
B,hallway,22.1,0,0,0.0025
B,hallway,19.5,0,0,0.0025
C,HOPS,21.4,0,1,1.0794
C,HOPS,17.5,0,0,0.0296
C,SRO_unit,27,1,1,1.6326
C,hallway,26.6,1,1,0.0196
C,hallway,28.6,1,0,0.1263
C,hallway,24.5,0,0,0.1041
C,HOPS,29.7,1,1,3.6437
C,SRO_unit,29.5,1,0,0.0025
C,office,21.7,0,0,0.0066
C,SRO_unit,23.9,1,0,0.0551
C,SRO_unit,21.4,1,0,0.7656
C,SRO_unit,17.3,0,0,0.0329
C,office,26.8,1,0,0.3855
C,SRO_unit,16.2,0,1,0.1524
C,SRO_unit,23.9,0,1,0.2958
C,SRO_unit,20.5,0,1,1.405
C,HOPS,24.3,0,1,1.5112
C,SRO_unit,25.5,0,0,0.1001
C,SRO_unit,21.7,0,1,1.1534
C,SRO_unit,23.7,0,0,0.0523
C,HOPS,18.2,0,0,0.0098
C,amenity,15.3,0,0,0.0303
C,HOPS,19.2,0,1,0.2485
C,HOPS,18.9,0,1,1.216
C,SRO_unit,25.2,1,0,0.0167
C,amenity,20.2,0,0,0.0462
C,SRO_unit,20.2,0,0,0.0476
C,HOPS,19.9,0,1,2.9916
C,HOPS,18.2,0,0,0.0474
C,SRO_unit,19,0,1,0.0733
C,HOPS,17.6,0,1,0.027
C,HOPS,20.2,0,1,0.5611
C,SRO_unit,19.6,0,0,0.0866
C,HOPS,16.2,0,0,1.1283
C,HOPS,16.2,0,1,0.6076
C,SRO_unit,16.1,1,0,0.0475
C,HOPS,20.6,0,0,0.0053
C,amenity,25,0,1,0.06
C,HOPS,28,1,1,0.2796
C,SRO_unit,19.5,0,1,0.5714
C,SRO_unit,15.3,0,0,0.0511
C,HOPS,15.1,0,1,0.5032
C,SRO_unit,19.1,0,1,0.0667
C,SRO_unit,29.7,1,0,0.3923
C,office,27.2,1,0,0.0087
C,amenity,22.8,0,0,0.124
C,SRO_unit,22.2,0,1,2.3259
C,hallway,23.5,0,0,0.0271
C,office,25.1,0,0,0.0198
C,SRO_unit,21.7,0,1,0.1753
C,SRO_unit,18.8,0,0,0.0025
C,SRO_unit,24.6,0,0,0.0112
C,HOPS,19.8,1,1,0.6967
C,hallway,21.7,0,0,0.0025
C,hallway,21,0,0,0.0054
C,HOPS,19,0,1,0.2605
C,SRO_unit,24.1,0,1,0.5751
C,SRO_unit,19.9,0,0,0.0059
C,SRO_unit,29,1,1,1.8122
C,HOPS,15.3,0,1,0.2925
D,amenity,26.1,0,0,0.024
D,SRO_unit,22.7,0,0,0.0067
D,SRO_unit,20.4,0,0,0.0102
D,SRO_unit,29.4,1,0,0.0217
D,SRO_unit,28.2,1,0,0.0025
D,SRO_unit,16,0,0,0.0025
D,SRO_unit,17.9,0,0,0.0063
D,hallway,19,0,0,0.0251
D,hallway,19.6,1,0,0.0025
D,hallway,18.6,1,0,0.0855
D,hallway,28.5,0,0,0.1469
D,hallway,23.5,1,0,0.0025
D,office,24.6,0,0,0.0025
D,hallway,18.1,0,0,0.0341
D,hallway,25.8,1,0,0.0115
D,hallway,22.1,1,0,0.0069
D,SRO_unit,22.8,0,0,0.013
D,SRO_unit,25.4,1,0,0.0916
D,hallway,29.7,1,0,0.0025
D,hallway,25.7,0,0,0.0025
D,amenity,25.1,0,0,0.0052
D,hallway,21.6,1,0,0.0201
D,hallway,26.9,0,0,0.0025
