Fentanyl_ng_m3,Ventilation_On,Drug_Use_Observed,Site,Room_Type,Temperature_C,LOD_ng_m3
NA,0,0,A,office,17.3,6.903
43.63601313985322,0,1,A,SRO_unit,23.3,6.903
NA,1,0,E,amenity,24.7,6.903
NA,1,0,A,amenity,18.5,6.903
7.559909546523399,0,0,D,office,17.9,6.903
71.38937270804438,0,1,E,SRO_unit,26.6,6.903
10.093852809780786,0,0,D,office,24.1,6.903
8.969858339668091,0,0,E,amenity,19.3,6.903
11.68222832879552,0,0,A,SRO_unit,27.9,6.903
73.44787197303282,0,1,B,SRO_unit,28.1,6.903
16.650843976404055,1,1,D,office,23.6,6.903
20.767491855308492,0,1,A,OPS,27.0,6.903
NA,1,0,B,hallway,25.7,6.903
NA,1,0,B,amenity,26.1,6.903
29.03493461081245,0,0,E,office,24.5,6.903
58.925311822148856,0,1,D,SRO_unit,19.3,6.903
15.429035723231165,0,0,C,SRO_unit,20.4,6.903
10.63038530252921,0,0,E,hallway,21.5,6.903
NA,1,0,B,hallway,19.4,6.903
9.447546161028646,0,0,A,SRO_unit,22.2,6.903
27.861045774038026,0,0,D,SRO_unit,21.1,6.903
13.342350030269326,0,0,A,amenity,16.1,6.903
21.021686143519172,1,0,D,OPS,23.3,6.903
76.15827716859835,0,0,D,OPS,24.1,6.903
16.326869694824417,1,0,D,OPS,24.3,6.903
NA,1,0,E,hallway,24.1,6.903
12.170468160705196,0,0,C,SRO_unit,20.7,6.903
20.349799156387647,0,0,B,SRO_unit,22.0,6.903
9.754459149379471,1,0,C,hallway,25.8,6.903
NA,1,0,E,hallway,24.7,6.903
10.393576424040067,0,0,E,amenity,25.1,6.903
NA,1,0,A,office,21.9,6.903
6.927580660925168,1,0,B,amenity,22.0,6.903
32.40626394349956,1,1,B,OPS,30.0,6.903
20.321873474016115,1,0,A,amenity,24.9,6.903
52.32831012758372,1,1,D,OPS,18.4,6.903
12.64348454867753,0,0,D,SRO_unit,23.2,6.903
25.397242226376026,1,1,A,OPS,26.1,6.903
NA,0,0,E,office,21.0,6.903
127.46618885906314,0,1,A,OPS,29.1,6.903
24.165979897244046,0,0,B,hallway,24.3,6.903
30.856058442493094,0,0,D,SRO_unit,20.3,6.903
40.12445643924254,1,1,B,OPS,21.6,6.903
NA,1,0,E,office,20.5,6.903
14.621623267660867,0,0,D,amenity,22.3,6.903
NA,0,0,D,office,21.9,6.903
8.631899853448095,1,0,B,SRO_unit,24.9,6.903
31.959840044521204,0,1,C,SRO_unit,25.7,6.903
15.06795171335924,0,0,B,hallway,21.8,6.903
16.577140021214817,0,0,D,amenity,20.2,6.903
81.24298796154594,0,1,C,OPS,19.0,6.903
8.768083297275924,0,0,B,SRO_unit,19.7,6.903
17.37726717122721,1,1,D,OPS,21.2,6.903
72.064223370074,0,1,C,OPS,23.6,6.903
41.136634937395925,1,0,D,SRO_unit,24.7,6.903
49.589396169400985,1,1,D,OPS,28.3,6.903
18.87933681655266,0,0,D,office,19.8,6.903
31.111778607353656,0,1,C,SRO_unit,21.9,6.903
9.575464839605798,0,0,D,office,17.3,6.903
6.904669953492102,0,0,A,amenity,22.0,6.903
45.37415636119741,0,1,B,SRO_unit,25.2,6.903
NA,1,0,C,amenity,25.6,6.903
17.357879145109692,1,0,E,SRO_unit,22.4,6.903
28.05215392642762,0,1,C,OPS,21.9,6.903
9.78386137563198,1,1,A,SRO_unit,22.1,6.903
67.42391311879192,0,1,A,OPS,23.8,6.903
NA,1,0,C,amenity,22.7,6.903
47.02160402202572,0,0,D,hallway,24.6,6.903
NA,0,0,E,office,24.5,6.903
114.99701175909834,0,1,D,OPS,26.0,6.903
26.254677871381737,0,1,C,OPS,19.7,6.903
15.820905934265317,1,0,E,SRO_unit,21.4,6.903
14.807056716893099,0,0,A,amenity,22.3,6.903
19.536788342915948,0,0,C,OPS,20.5,6.903
54.84919682468462,0,1,B,SRO_unit,26.5,6.903
15.693987599453331,1,1,A,amenity,20.2,6.903
NA,1,0,C,amenity,30.0,6.903
30.049641793786908,1,1,E,SRO_unit,24.5,6.903
8.44250617023406,1,0,E,SRO_unit,25.0,6.903
9.100628053491397,1,0,A,SRO_unit,26.3,6.903
7.92762125118474,1,0,B,office,23.3,6.903
7.651513875309285,1,0,A,SRO_unit,24.3,6.903
20.04559606232779,0,1,E,SRO_unit,21.5,6.903
43.0742158136197,1,1,C,SRO_unit,26.9,6.903
22.021874996331224,0,1,E,SRO_unit,26.0,6.903
27.373316835652652,1,1,A,SRO_unit,24.7,6.903
48.69805395100458,0,1,B,SRO_unit,25.8,6.903
18.98844550030175,0,0,D,OPS,18.4,6.903
69.77706079493268,0,1,E,OPS,26.9,6.903
21.419774303214094,0,0,E,OPS,25.2,6.903
19.116239145392562,0,0,B,office,23.5,6.903
NA,1,0,A,hallway,28.1,6.903
16.799057929959275,0,1,A,amenity,24.6,6.903
110.85517958515067,0,1,E,OPS,22.8,6.903
23.267527411774374,0,1,E,OPS,21.9,6.903
26.242189425157736,1,1,A,SRO_unit,25.6,6.903
NA,0,0,A,amenity,21.8,6.903
21.32756529762246,0,0,C,amenity,19.8,6.903
30.375444837582126,1,1,A,OPS,25.3,6.903
NA,1,0,A,SRO_unit,27.0,6.903
32.77372171720601,0,0,B,SRO_unit,19.6,6.903
65.33599540910886,0,1,B,SRO_unit,26.3,6.903
20.462582579787135,0,1,E,SRO_unit,22.9,6.903
71.97318080954837,0,1,E,SRO_unit,22.4,6.903
10.448368234290198,1,0,E,amenity,25.3,6.903
52.00393610840572,1,1,C,OPS,30.0,6.903
NA,0,0,A,office,21.7,6.903
NA,1,1,A,OPS,25.4,6.903
27.72915966261116,0,1,C,OPS,18.0,6.903
75.35228188722213,1,1,A,SRO_unit,21.8,6.903
11.23380144600903,1,1,E,hallway,23.6,6.903
10.691646551447114,0,0,E,SRO_unit,23.6,6.903
19.25484890160607,0,0,E,OPS,24.5,6.903
9.145672619002962,0,0,E,amenity,22.7,6.903
16.51981394098066,1,0,D,office,23.9,6.903
43.377113785338814,0,1,B,hallway,22.8,6.903
NA,1,0,C,office,27.8,6.903
71.14224113283653,0,1,D,SRO_unit,18.4,6.903
17.33385573533131,0,1,C,SRO_unit,23.0,6.903
10.752529920428126,0,0,D,office,21.4,6.903
27.988087356609082,0,1,C,SRO_unit,18.7,6.903
7.8226938096172125,1,1,C,SRO_unit,20.6,6.903
70.25746687449545,0,1,B,OPS,24.2,6.903
10.940976937780293,0,0,E,office,21.7,6.903
17.62713616738087,1,1,C,OPS,24.0,6.903
91.94745168517004,0,1,A,amenity,22.8,6.903
39.26630053181076,1,0,D,amenity,24.8,6.903
9.029302740056341,0,0,C,hallway,28.5,6.903
NA,1,0,E,hallway,26.8,6.903
9.935652246941473,1,0,B,office,28.0,6.903
NA,0,0,A,SRO_unit,19.2,6.903
95.27634114195477,0,1,E,SRO_unit,21.1,6.903
79.54561633253627,0,0,D,OPS,25.5,6.903
7.45903005425937,0,0,B,amenity,25.8,6.903
14.985250722944146,1,0,D,OPS,24.1,6.903
44.111368477602774,0,0,D,amenity,20.6,6.903
12.68825673119858,0,0,C,amenity,21.7,6.903
15.47680465134665,0,1,E,OPS,28.6,6.903
NA,0,0,C,office,23.8,6.903
10.858318156421374,1,0,A,OPS,25.1,6.903
75.7152878119972,0,0,D,SRO_unit,23.7,6.903
8.242188403891216,0,1,E,hallway,18.2,6.903
9.005318089777562,0,0,A,SRO_unit,18.5,6.903
NA,1,0,D,office,19.4,6.903
60.711996984577254,0,0,D,OPS,20.6,6.903
23.540681073812642,1,1,A,OPS,21.6,6.903
31.176546737579752,0,1,A,OPS,18.5,6.903
73.36793609776005,0,1,D,OPS,15.5,6.903
19.636283529950948,0,1,B,OPS,21.0,6.903
NA,1,0,B,office,22.2,6.903
16.607665235221134,0,0,B,SRO_unit,20.6,6.903
12.773319082455442,0,0,B,SRO_unit,20.9,6.903
54.44651941193645,0,1,B,OPS,26.8,6.903
35.29054110985292,0,0,A,amenity,23.4,6.903
8.526170388692902,1,0,B,hallway,27.2,6.903
16.752109880454807,0,0,C,SRO_unit,25.1,6.903
15.353910871032639,0,1,B,office,23.1,6.903
38.675125213625556,0,1,A,OPS,22.5,6.903
22.253250715683084,0,1,A,hallway,22.8,6.903
59.84148451908419,0,1,A,OPS,23.5,6.903
NA,0,0,E,amenity,16.9,6.903
36.65838641622971,1,1,D,amenity,22.0,6.903
38.82308287158395,0,0,A,OPS,24.3,6.903
10.487300609379407,1,0,B,SRO_unit,28.8,6.903
22.283458435697753,1,1,B,OPS,24.3,6.903
NA,0,0,B,office,21.8,6.903
8.724361890241598,0,0,E,amenity,26.0,6.903
19.43083541502179,1,1,A,OPS,26.4,6.903
11.289348669812448,1,0,A,OPS,26.5,6.903
37.70267230528603,1,1,A,OPS,26.7,6.903
19.740084881706824,0,0,D,amenity,22.7,6.903
15.048998115466096,0,1,E,SRO_unit,24.0,6.903
15.672326681872622,0,0,D,OPS,20.1,6.903
NA,1,0,E,SRO_unit,24.2,6.903
NA,1,0,B,office,22.2,6.903
12.648955237842664,1,0,B,office,28.8,6.903
11.71847452690766,0,0,A,SRO_unit,25.2,6.903
NA,0,0,C,office,21.9,6.903
27.128046553994697,0,1,A,amenity,19.9,6.903
69.03488056273852,0,1,C,OPS,16.6,6.903
10.169529624578665,1,0,E,SRO_unit,25.7,6.903
11.235333337844816,0,0,E,hallway,23.6,6.903
10.140469692853449,0,0,E,hallway,24.5,6.903
25.89135100888719,0,1,C,hallway,24.4,6.903
17.629006507436678,0,0,D,office,23.8,6.903
53.489024620427664,0,1,E,OPS,26.0,6.903
8.578733571968401,0,0,B,hallway,20.1,6.903
10.317125911745721,1,0,B,amenity,23.8,6.903
11.903750753263932,0,0,A,SRO_unit,23.1,6.903
12.20922317838855,0,0,C,SRO_unit,21.4,6.903
15.542921569969986,1,0,C,amenity,27.5,6.903
34.734435272273494,0,0,B,SRO_unit,20.5,6.903
16.75448181395251,1,1,A,OPS,24.5,6.903
28.025728226732753,0,0,B,SRO_unit,20.9,6.903
20.851439905604366,0,0,B,amenity,24.9,6.903
11.631199598244667,0,1,B,amenity,19.5,6.903
24.766463445005407,1,1,A,OPS,28.5,6.903
45.90752115827866,0,1,B,hallway,21.1,6.903
9.147282281736288,0,0,E,office,22.6,6.903
31.288313625417477,0,1,C,OPS,23.7,6.903
14.973278855180663,1,1,A,OPS,24.1,6.903
15.112090370278707,1,1,A,OPS,19.9,6.903
18.275609656655377,0,1,E,OPS,26.6,6.903
21.85551645705622,0,0,D,SRO_unit,23.3,6.903
NA,1,0,B,office,24.2,6.903
19.54799566878722,0,0,C,OPS,20.9,6.903
12.463591518503607,0,0,B,office,22.4,6.903
13.539059907241354,1,1,A,OPS,23.1,6.903
10.200117719756914,0,1,C,SRO_unit,19.3,6.903
10.028242190071847,0,0,C,OPS,23.6,6.903
20.23984091985547,1,0,D,office,30.0,6.903
14.54443746850467,0,0,E,SRO_unit,22.9,6.903
NA,1,0,C,SRO_unit,28.5,6.903
7.414014612343566,0,0,C,hallway,19.3,6.903
49.23662749235178,0,1,E,OPS,26.1,6.903
22.706382594138052,0,0,B,SRO_unit,20.8,6.903
40.57673069109292,0,1,B,hallway,20.6,6.903
28.889805817974192,0,1,E,hallway,20.9,6.903
52.91154220985119,1,1,D,SRO_unit,28.4,6.903
60.07601948467419,0,1,B,OPS,19.1,6.903
22.405146059388887,0,1,C,hallway,22.7,6.903
NA,1,0,B,hallway,27.1,6.903
11.812970813321478,0,0,C,amenity,22.8,6.903
13.970502463594185,0,0,D,office,25.4,6.903
8.949769981371874,1,0,E,amenity,22.9,6.903
7.663483776321968,1,0,D,OPS,29.7,6.903
55.446394729107794,0,1,C,SRO_unit,22.9,6.903
13.95923173258758,1,1,E,OPS,25.3,6.903
9.200258604133158,0,0,B,hallway,22.7,6.903
27.483765390586058,0,1,C,OPS,29.2,6.903
55.67863604484151,0,1,E,OPS,22.5,6.903
16.707539674464535,0,0,E,amenity,23.4,6.903
6.960631736551775,0,0,E,hallway,24.1,6.903
14.826216152951043,1,1,C,SRO_unit,22.8,6.903
95.37085338108562,0,1,A,SRO_unit,22.8,6.903
38.62291782160641,0,0,D,amenity,25.8,6.903
NA,0,0,E,amenity,23.0,6.903
12.537035556242476,0,0,A,office,22.3,6.903
20.6640629202416,0,1,C,OPS,24.0,6.903
45.54772597460406,0,0,D,OPS,20.1,6.903
NA,1,0,E,amenity,22.3,6.903
NA,1,0,A,SRO_unit,21.9,6.903
13.203267690001262,0,0,C,hallway,21.2,6.903
26.542055038326556,0,0,E,office,23.6,6.903
26.312949137571668,0,0,D,amenity,25.0,6.903
27.612823385737617,0,1,B,hallway,21.2,6.903
20.32041131345329,0,0,D,hallway,21.2,6.903
50.18087869231681,0,1,C,SRO_unit,28.6,6.903
13.433390734381774,0,0,E,hallway,20.3,6.903
22.86338009126442,1,1,D,SRO_unit,23.3,6.903
22.329345735150042,0,0,A,SRO_unit,21.8,6.903
18.964923054798245,0,1,B,hallway,28.0,6.903
7.045053545905428,1,0,B,hallway,27.6,6.903
21.679871651035448,0,1,B,hallway,27.3,6.903
11.601818766107863,1,0,E,hallway,22.4,6.903
31.964528589601425,0,1,A,hallway,25.8,6.903
NA,1,0,D,office,20.7,6.903
47.09457056039652,0,1,B,OPS,27.6,6.903
NA,1,0,B,office,26.3,6.903
12.954784971134506,1,1,E,office,26.6,6.903
24.487619530364757,0,0,D,hallway,24.4,6.903
9.215293653908954,1,0,B,SRO_unit,29.1,6.903
43.42102941093283,1,1,C,SRO_unit,22.4,6.903
46.25225528615734,0,1,A,hallway,23.2,6.903
9.817440248551517,0,1,A,OPS,18.1,6.903
23.96502478584952,0,1,E,office,19.7,6.903
22.405240951836294,0,0,D,hallway,25.2,6.903
13.184585042332436,0,0,E,hallway,15.4,6.903
103.39400975551021,0,1,D,OPS,23.2,6.903
34.432091235691686,0,0,A,SRO_unit,21.3,6.903
56.08286594691968,0,0,B,hallway,25.6,6.903
NA,1,0,D,office,22.1,6.903
7.257971673184808,0,0,D,office,23.4,6.903
63.01846195974692,0,0,D,SRO_unit,23.7,6.903
11.553060036932456,1,0,A,SRO_unit,23.7,6.903
16.97807995186933,0,0,B,office,19.0,6.903
NA,1,0,B,office,25.3,6.903
35.00091194308461,0,1,E,amenity,17.4,6.903
9.090970613403593,0,0,E,office,23.7,6.903
9.391390559166476,0,0,A,hallway,21.2,6.903
NA,1,0,E,office,22.7,6.903
17.278559902230686,0,0,B,hallway,20.9,6.903
10.01422848458634,0,0,C,amenity,21.2,6.903
26.016310482918716,1,1,A,SRO_unit,29.4,6.903
19.722374815256273,0,1,B,SRO_unit,18.8,6.903
27.593484621168656,0,0,D,hallway,20.8,6.903
35.39437934459009,0,1,B,OPS,21.9,6.903
14.352782038006627,0,1,A,OPS,21.5,6.903
11.608748994109343,1,1,A,office,24.9,6.903
14.310730822035813,0,0,D,amenity,22.5,6.903
50.0741306070475,0,1,A,OPS,20.4,6.903
41.013021717691366,0,1,A,OPS,18.6,6.903
33.27537854373939,0,1,B,hallway,24.4,6.903
20.527874437649984,0,0,D,amenity,19.6,6.903
NA,1,0,C,office,22.2,6.903
50.72894973608968,0,1,D,SRO_unit,23.8,6.903
NA,0,0,E,amenity,25.1,6.903
8.334492548516028,0,0,D,office,26.9,6.903
12.04276052018696,1,0,D,SRO_unit,29.0,6.903
15.038980696656393,0,0,A,amenity,26.8,6.903
